views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category_Entertainment,category_Gaming,category_Lifestyle,category_Music,category_Tech,country_CA,country_DE,country_IN,country_UK,country_US,ad_revenue_usd
9936,1221,320,26497.0,2.862136598361809,228086,True,False,False,False,False,False,False,True,False,False,203.178236677856
10017,642,346,15209.0,23.73806859600372,736015,False,True,False,False,False,True,False,False,False,False,140.88050802739548
10097,1979,187,57332.0,26.200633602012736,240534,False,False,False,False,False,True,False,False,False,False,360.1340075441641
10034,1191,242,31334.0,11.770340066666662,434482,True,False,False,False,False,False,False,False,True,False,224.6382614997087
9889,1858,477,15665.0,6.6358538634662505,42030,False,False,False,False,False,True,False,False,False,False,165.51438759860426
10002,843,159,35131.0,12.491826162893895,541268,False,False,False,True,False,True,False,False,False,False,234.9659962741677
9989,1944,160,35380.0,6.520902680751886,193736,False,False,False,True,False,False,False,True,False,False,255.00941180833848
10051,784,458,19263.0,24.58612089884761,823662,True,False,False,False,False,False,False,False,False,True,164.53345487622306
9934,292,88,37543.0,5.946665704433521,58437,True,False,False,False,False,False,False,False,True,False,336.40985615926195
10051,1099,61,40011.0,24.45472328947879,103872,False,False,False,False,True,False,True,False,False,False,246.71188251761748
9907,1099,184,54008.0,8.397639439590337,226781,False,True,False,False,False,False,False,False,False,True,330.2197625661647
10052,631,406,40853.0,20.33414851619312,237553,False,False,False,False,True,False,False,False,True,False,262.8032263228001
9990,1225,236,33689.0,9.152332026317804,499149,False,False,False,False,False,False,False,False,True,False,235.9907725301537
10106,1450,416,39394.0,26.37459200422889,830553,False,False,False,True,False,False,False,False,False,True,270.45344036769865
9999,589,488,22777.0,15.629542330829876,258755,False,False,False,False,False,False,False,False,False,True,177.99442912467404
9979,689,439,19196.0,12.041984898658436,948421,False,False,False,False,True,False,False,False,True,False,161.88228614381467
10024,539,459,38020.0,14.5459407463855,294403,False,False,False,False,True,False,False,False,False,False,248.63200403192369
10070,351,444,21044.0,19.69320562323585,33467,False,False,False,True,False,False,False,True,False,False,165.3471581101835
10026,1057,339,34851.0,13.672055451668154,753781,False,False,False,True,False,False,False,False,False,False,240.5396970631208
10094,303,160,47507.0,22.688333429818112,981054,False,False,False,False,True,True,False,False,False,False,284.5274593240006
10092,221,330,60498.0,16.93223026934307,173160,False,False,True,False,False,False,True,False,False,False,347.27622232764634
9943,1345,60,17886.0,20.03945711612804,338260,True,False,False,False,False,False,False,True,False,False,160.283964855396
10073,489,245,26111.0,3.6648908969066825,504852,False,False,True,False,False,False,False,False,False,True,188.201874192532
9804,1010,338,37543.0,11.098399717576278,156446,False,False,True,False,False,False,False,False,True,False,279.1120966659737
9774,1856,69,53348.0,13.644730911276898,364772,False,False,False,False,True,False,True,False,False,False,335.5274586676025
9794,835,391,30449.0,23.10423728031032,10301,False,False,False,False,False,True,False,False,False,False,215.656397425536
9960,618,383,39763.0,8.99453638079272,618908,False,False,False,True,False,False,True,False,False,False,256.56705074098124
9942,1027,102,48958.0,6.459105763698017,634747,False,False,False,False,False,True,False,False,False,False,302.02424080337124
10125,1174,65,41767.0,27.151940498109955,271933,False,False,False,True,False,True,False,False,False,False,270.965836667215
10053,1628,413,19785.0,29.894391093308307,553639,True,False,False,False,False,False,True,False,False,False,180.7375238946771
9795,1828,129,27373.0,22.90109697316303,720229,False,False,False,False,True,True,False,False,False,False,213.72465778090125
9780,308,157,52937.0,21.95479042516857,711242,False,False,False,False,False,False,False,False,False,False,308.52749667210065
9920,1799,105,34721.0,22.69150992374556,415686,True,False,False,False,False,False,True,False,False,False,248.1066448220517
10021,1946,219,45743.0,11.444497533102648,306189,False,False,False,True,False,True,False,False,False,False,305.08346078958914
9949,1662,274,33385.0,2.30007643671923,803842,False,False,False,False,True,True,False,False,False,False,241.3914944267467
10052,1990,66,52577.0,7.230923033178,593102,True,False,False,False,False,False,False,False,True,False,335.59111387268973
10247,1176,170,16581.0,3.27958059138886,632652,False,True,False,False,False,False,False,False,False,False,154.6978099342353
9928,1535,408,22048.0,26.60644950783849,191029,False,False,False,True,False,False,False,False,True,False,189.07166415303743
9868,626,157,16920.0,23.178720300615133,91026,False,False,False,True,False,False,False,False,False,False,144.64483172473606
9893,220,369,53450.0,3.5426352913583643,205569,False,False,False,False,True,False,True,False,False,False,313.664043852459
10035,1259,151,37543.0,18.09968084712208,257566,False,False,False,False,True,False,True,False,False,False,147.8805150030548
9968,1099,323,57697.0,14.537681213395604,697130,False,True,False,False,False,True,False,False,False,False,349.579265625342
10085,809,167,19494.0,11.314129719801755,245573,False,False,True,False,False,False,False,False,False,False,161.22840328848727
10133,1699,299,15595.0,11.16598904396358,528998,False,False,False,True,False,False,False,True,False,False,160.66339274009857
10098,1516,131,23557.0,7.66162721633952,660932,False,False,False,False,False,False,False,False,False,False,191.9851177075029
9964,464,230,35097.0,9.835019822128308,872419,False,False,False,False,True,False,True,False,False,False,229.31243620806464
10001,1353,380,42505.0,5.867130296775716,480469,False,True,False,False,False,False,False,False,True,False,282.28778607752525
10001,1099,414,16299.0,24.193341108195096,124529,True,False,False,False,False,False,False,True,False,False,154.71831047129342
9929,1932,185,37543.0,19.63818632171797,986248,False,True,False,False,False,False,False,False,False,True,234.13986916574007
10151,1850,421,26010.0,24.5504106961597,837462,False,False,True,False,False,False,False,True,False,False,214.551197373064
9795,457,216,42773.0,29.906183023158743,47620,False,False,False,False,True,False,False,False,True,False,264.2582707658467
10166,317,383,52754.0,11.546566335188828,66516,False,False,False,False,True,False,False,False,False,False,313.7111470299675
10180,325,380,27168.0,19.529190193536447,939271,False,True,False,False,False,True,False,False,False,False,193.24344917976404
9987,856,179,40777.0,3.535899803419248,377964,False,False,False,True,False,False,True,False,False,False,262.0727004932661
9989,450,274,37543.0,22.08538485085761,429793,False,False,False,True,False,False,False,False,False,False,213.6837668196288
10013,1256,166,38177.0,29.58863180545558,498732,False,False,True,False,False,False,False,True,False,False,256.60023268793265
9982,1099,197,39735.0,12.999688545995712,621563,False,False,False,False,True,False,False,False,False,True,261.6178606902982
9949,1826,245,39274.0,4.577987241792137,183444,False,False,False,False,True,False,False,False,False,False,272.59549199139707
10039,501,73,28023.0,4.5935013848985164,434927,False,False,False,False,True,False,False,False,False,False,194.2889893044848
10091,448,486,25142.0,5.016507335456824,946478,False,False,False,False,False,False,False,False,True,False,187.1641981790493
10117,1361,288,23675.0,28.99229552307695,6647,False,False,False,False,True,True,False,False,False,False,192.6755422355952
9853,1564,140,21268.0,15.769153853461216,671298,False,False,False,False,True,False,False,False,False,True,180.89687738059007
10236,221,230,39733.0,16.943674447144602,449742,True,False,False,False,False,False,False,True,False,False,248.41019481359288
10028,1518,83,47357.0,7.560315495515814,466031,False,False,True,False,False,False,True,False,False,False,303.0349248900682
9978,1211,265,30444.0,28.73333921995321,235362,False,True,False,False,False,False,False,False,False,False,220.8873561750788
9914,1865,284,51990.0,20.93609672686368,103305,False,False,False,False,True,False,False,False,True,False,333.7032655047911
9999,481,301,57326.0,13.568568922904458,197000,False,True,False,False,False,False,True,False,False,False,335.80704819994054
9913,1191,290,48737.0,24.489185925094944,215258,True,False,False,False,False,False,False,False,False,True,306.88204608582555
9763,725,258,37352.0,22.71856906163864,383582,False,False,True,False,False,False,True,False,False,False,243.8656481209869
10211,2040,403,49667.0,4.852402764432487,385073,False,False,False,True,False,False,False,True,False,False,329.3523673710092
10105,755,122,31000.0,22.63045378113207,708964,False,False,True,False,False,False,False,False,False,True,213.87758570223107
9973,1759,307,43158.0,21.47996402161352,196452,False,False,False,True,False,False,True,False,False,False,290.94580187662024
9828,1796,356,18582.0,2.440223256943668,586230,False,False,False,True,False,False,False,False,False,False,175.80293928032927
9987,1529,356,47979.0,16.297876812051936,694559,False,True,False,False,False,False,False,True,False,False,310.63378257555013
9958,1722,314,47425.0,18.054511774199025,941806,False,False,False,True,False,False,False,False,False,True,310.4689900899143
10037,1604,228,39168.0,23.3231905656002,687426,False,False,False,True,False,False,False,False,False,True,268.4464602742436
